,EEG Filename,Video Filename,Dataset,Test Number,Condition,DST (out of 21) # of Correct Answers,BT (out of 4) # of Correct Answers,1st Mental Fatigue,1st Stress,ST # of Correct Answers,PST # of Correct Answers,VMT (out of 22) # of Correct Answers,2nd Mental Fatigue,2nd Stress,Overall ,Accuracy,Start Time,Timepoints for Incorrect Answers,Duration,ST out of (Total trials),PST out of (Total trials),DST (7) [Longest sequence correct],VMT (7) [Longest sequence correct],Overall (vary),Accuracy,Person in Charge,Completed
12,,,,,Green,20,4,1,1,15,5,21,1,1,65,0.890410959,"DST: 15:49
BT: 16:50
ST: 36:27
PST: 37:04
VMT: 37:26","DST: 16:32, 16:43
BT:
ST: 36:37, 36:40, 36:51, 36:52, 36:53
PST:
VMT: 37:53","DST: 55
BT: 28
ST: 27
PST: 15
VMT: 30",20,5,5,7,36,0.837209302,Elita,Completed
12,,,,,Wide,17,4,3,2,20,2,20,10,1,63,0.9,"DST: 19:33
BT: 20:39
ST: 39:48
PST: 40:25
VMT: 40:47","DST: 19:53, 19:54, 19:55, 20:23, 20:30
BT:
ST:
PST:
VMT: 41:06, 41:16","DST: 58
BT: 26
ST: 27
PST: 15
VMT: 34",20,2,4,4,34,0.85,Elita,Completed
12,,,,,Bar,18,4,3,1,22,3,21,1,1,68,0.918918919,"DST: 24:49
BT: 25:54
ST: 41:36
PST: 42:13
VMT: 42:34","DST: 25:35, 25:39, 25:44, 25:45, 25:47
BT:
ST:
PST: 42:18
VMT: 43:03","DST: 58
BT: 24
ST: 26
PST: 15
VMT: 33",22,4,5,7,41,0.931818182,Elita,Completed
13,,subject13 - Desktop 2018.08.08 - 13.42.44.01,,,One,22,4,3,4,26,2,21,6,2,75,0.974025974,"DST: 13:20
BT: 14:20
ST 36:57
PST: 37:34
VMT: 37:57","DST: 
BT: 
ST: 
PST: 37:47
VMT: 38:15","DST: 54
BT: 24
ST: 26
PST: 15
VMT: 28",26,3,7,7,46,0.978723404,Nina,Completed
13,,,,,Two,19,3,3,3,24,3,22,2,2,71,0.946666667,"DST: 17:23
BT: 18:27
ST: 40:37
PST: 41:14
VMT: 41:38","DST: 18:11, 18:16, 18:17
BT: 18:29
ST: 
PST: 
VMT: ","DST: 18:11, 18:16, 18:17
BT: 18:29
ST: 
PST: 
VMT: ",24,3,5,7,42,0.933333333,Nina,Completed
13,,,,,Blue,20,4,4,3,21,1,21,7,2,67,0.957142857,"DST: 19:20
BT: 20:21
ST: 35:05
PST: 35:45
VMT: 36:09","DST: 20:05, 20:13
BT: 
ST: 
PST: 
VMT: 36:15","DST: 205, 213
BT: 
ST: 
PST: 
VMT: 36:15",21,1,5,7,38,0.95,Nina,Completed
13,,,,,Red,20,4,4,4,16,5,22,4,3,67,0.930555556,"DST: 15:18
BT: 16:19
ST: 46:07
PST: 46:45
VMT: 47:07","DST: 16:06, 16:11
BT: 
ST: 46:18, 46:19, 46:33
PST: 
VMT: ","DST: 0:16:06, 0:16:11
BT: 
ST: 0:46:18, 0:46:19, 0:46:33
PST: 
VMT: ",19,5,6,7,38,0.904761905,Nina,Completed
13,,,,,Teach,21,4,4,3,27,3,22,8,3,77,0.987179487,"DST: 21:31
BT: 22:31
ST 42:27
PST: 43:04
VMT: 43:27","DST: 22:17
BT: 
ST: 
PST: 
VMT: ","DST: 0:22:17
BT: 
ST: 
PST: 
VMT: ",27,3,7,7,48,1,Nina,Completed
13,,,,,Narrow,22,4,3,5,21,4,22,2,2,73,0.973333333,"DST: 10:54
BT: 11:54
ST 44:13
PST: 44:50
VMT: 45:13","DST: 
BT: 
ST: 0:44:25,  
PST: 
VMT: ","DST: 
BT: 
ST: 0:44:25,  
PST: 
VMT: ",23,4,7,7,43,0.955555556,Nina,Completed
13,,,,,Green,17,4,6,2,6,3,22,6,3,52,0.881355932,"DST: 26:02
BT: 27:02
ST 31:15
PST: 32:04
VMT: 32:27","DST: 26:35, 26:36, 26:37, 26:38, 26:48
BT: 
ST: 31:27, 31:39
PST: 
VMT: ","DST: 0:26:35, 0:26:36, 0:26:37, 0:26:38, 0:26:48
BT: 
ST: 0:31:27, 0:31:39
PST: 
VMT: ",8,3,7,7,27,0.931034483,Nina,Completed
13,,,,,Wide,21,4,5,3,26,2,22,4,3,75,0.974025974,"DST: 23:58
BT: 25:03
ST: 38:52
PST: 39:29
VMT: 39:52","DST: 24:43
BT: 
ST: 
PST: 39:38
VMT:","DST: 0:24:43
BT: 
ST: 
PST: 0:39:38
VMT ",26,3,7,7,46,0.978723404,Nina,Completed
13,,,,,Bar,18,4,5,2,21,2,22,2,2,67,0.943661972,"DST: 28:05
BT: 29:11
ST 33:25
PST: 34:01
VMT: 34:24","DST: 28:39, 28:41, 28:53, 29:01
BT: 
ST: 
PST: 
VMT: ","DST: 0:28:39, 0:28:41, 0:28:53, 0:29:01
BT: 
ST: 
PST: 
VMT: ",21,2,5,7,39,0.951219512,Nina,Completed
14,,subject14 - Desktop 2018.08.08 - 17.13.46.02,,,One,15,9,4,5,22,13,22,3,6,81,0.771428571,"DST: 18:04
BT: 19:20
ST: 33:37
PST: 34:15
VMT: 34:38","DST: 18:44, 18:46, 19:04, 19:08, 19:09, 19:11, 19:11
BT:
ST: 33:58
PST: 34:17, 34:17, 34:17, 34:17, 34:17, 34:19, 34:20, 34:20, 34:21, 34:24,  34:24, 34:25, 34:27, 34:27, 34:27, 34:28, 34:28, 34:29, 34:29, 34:29, 34:29
VMT: ","DST: 70
BT: 28
ST: 28
PST: 14
VMT: 31",23,34,5,7,56,0.746666667,Nina,Completed
14,,,,,Two,20,9,5,6,23,19,21,9,6,92,0.741935484,"DST: 20:09, 
BT: 21:19, 
ST: 35:26
PST: 36:03
VMT: 36:25","DST: 21:03, 21:10
BT:
ST:
PST: random guessing 34 incorrect 19 correct
VMT: 36:51","DST: 64
BT: 31
ST: 27
PST: 15
VMT: 30",23,53,5,7,63,0.670212766,Nina,Completed
14,,,,,Blue,19,9,6,6,22,19,21,3,4,90,0.656934307,"DST: 13:45
BT: 14:51
ST: 37:08
PST: 37:45
VMT: 38:07","DST: 14:07, 14:09, 14:38
BT:
ST: 37:11, 37:27, 37:32, 37:32,  37:32,  37:32,  37:32,  37:32,  37:33 
PST: random gussing 40 incorrect 19 correct
VMT: 38:18","DST: 60
BT: 31
ST: 26
PST: 14
VMT: 28",30,59,7,7,64,0.598130841,Nina,Completed
14,,,,,Red,21,8,7,6,22,18,20,N/A,6,89,0.649635037,"DST: 22:12
BT: 23:31
ST: 43:49, 
PST: 44:26
VMT: 44:48,","DST: 23:14
BT: 23:52
ST: 43:51, 44:05, 44:05, 44:06
PST: random guessing 45 incorrect 18 correct
VMT: 44:52, 45:07","DST: 72
BT: 29
ST: 26
PST: 15
VMT: 28",26,63,6,7,61,0.570093458,Nina,Completed
14,,,,,Teach,20,8,5,5,21,21,20,4,5,90,0.681818182,"DST: 9:33
BT: 10:45
ST: 38:50
PST: 39:26
VMT: 39:49","DST: 10:30, 10:37
BT: 11:07
ST: 38:54, 38:54
PST: random guessing 40 incorrect 21 correct
VMT: 39:57, 40:06","DST: 76
BT: 30
ST: 26
PST: 15
VMT: 30",23,61,5,7,62,0.607843137,Nina,Completed
14,,,,,Narrow,19,9,6,5,24,26,19,3,cant see,97,0.692857143,"DST: 11:35
BT: 12:44
ST: 42:10
PST: 42:47
VMT: 43:09","DST: 11:43, 11:44, 12:36
BT: 13:03
ST: 
PST: random guessing 42 incorrect 26 correct
VMT: 43:13, 43:15, 43:19","DST: 64
BT: 28
ST: 27
PST: 15
VMT: 30",24,68,6,7,72,0.654545455,Nina,Completed
14,,,,,Green,20,9,4,4,10,3,22,4,6,64,0.927536232,"DST: 24:27
BT: 25:40 
ST: 31:56
PST: 32:35
VMT: 32:58","DST: 25:19, 25:32
BT: 
ST: 32:00, 32:02, 32:03, 32:05, 32:17, 32:18, 32:18, 32:20, 32:21
PST: 
VMT: ","DST: 66
BT: 31
ST: 26
PST: 16
VMT: 27",18,3,5,7,34,0.871794872,Nina,Completed
14,,,,,Wide,20,9,6,5,27,30,22,10,4,108,0.755244755,"DST: 26:32
BT: 27:51
ST: 40:30
PST: 41:07
VMT: 41:30","DST: 27:31, 27:40
BT: 
ST: 40:52
PST: random guessing 37 incorrect 30 correct
VMT: ","DST: 69
BT: 34
ST: 27
PST: 15
VMT: 29",28,67,5,7,78,0.690265487,Nina,Completed
14,,,,,Bar,16,9,4,5,22,1,22,4,7,70,0.95890411,"DST: 15:54
BT: 17:05
ST: 30:00
PST: 30:38
VMT: 31:00","DST: 16:48, 16:51, 16:53, 16:54, 16:55, 16:55 
BT: 
ST: 30:21
PST: 30:46
VMT: ","DST: 63
BT: 32
ST: 28
PST: 9
VMT: 35",23,2,5,7,44,1.023255814,Nina,Completed
15,,,,,One,18,5,5,3,18,7,9,5,1,57,0.780821918,"DST: 14:13
BT: 15:24
ST: 42:08
PST: 42:45
VMT: 43:10","DST: 14:51, 15:04, 15:06, 15:09
BT: 
ST: 
PST: 
VMT: 43:27, 43:29, 43:30 (1), 43:30 (2), 43:31, 43:35, 43:36, 43:37, 43:39, 43:40, 43:41, 43:42, 43:43","DST: 58
BT: 21
ST: 26
PST: 15
VMT: 36",18,7,5,4,39,0.906976744,Elita,Completed
15,,,,,Two,15,5,4,2,19,3,14,1,2,56,0.788732394,"DST: 16:42
BT: 17:50
ST: 36:14
PST: 36:51
VMT: 37:14","DST: 17:18, 17:22, 17:24, 17:36, 17:37, 17:41 (1), 17:41 (2)
BT: 
ST: 
PST: 37:03
VMT: 37:34, 37:36, 37:37, 37:38 (1), 37:38 (2), 37:39, 37:41, 37:43","DST: 60
BT: 23
ST: 26
PST: 15
VMT: 37",19,4,5,7,39,0.951219512,Elita,Completed
15,,,,,Blue,19,5,7,3,21,3,20,1,3,68,0.894736842,"DST: 23:34
BT: 24:35
ST: 46:12
PST: 46:48
VMT: 47:13","DST: 24:11, 24:12, 24:28
BT: 
ST: 46:14, 46:28, 46:33 
PST: 46:59
VMT: 47:40, 47:43","DST: 54
BT: 21
ST: 26
PST: 15
VMT: 31",24,4,5,7,41,0.891304348,Elita,Completed
15,,,,,Red,14,4,7,3,19,7,22,5,3,66,0.868421053,"DST: 20:44
BT: 22:14
ST: 50:04
PST: 50:41
VMT: 51:09","DST: 20:51 (1), 20:21 (2), 21:08, 21:22, 21:25, 21:29, 21:46, 21:50
BT: 22:21, 
ST: 50:15, 50:29
PST: 
VMT: ","DST: 66
BT: 12
ST: 26
PST: 15
VMT: 26",21,7,0,7,37,0.804347826,Elita,Completed
15,,,,,Teach,11,4,4,8,22,6,21,3,6,64,0.853333333,"DST: 28:54
BT: 30:17
ST: 48:10
PST: 48:45
VMT: 49:07","DST: 28:59, 29:03, 29:16, 29:17, 29:18, 29:31, 29:34, 29:36, 29:37, 29:54, 29:57
BT: 30:30
ST: 
PST: 
VMT: 49:29","DST: 66
BT: 27 
ST: 26
PST: 15
VMT: 33",21,6,0,7,39,0.866666667,Elita,Completed
15,,,,,Narrow,18,5,6,3,21,5,22,9,2,71,0.95945946,"DST: 18:48
BT: 20:02
ST: 40:14
PST: 40:50
VMT: 41:14","DST: 19:30, 19:33, 19:35, 19:54
BT: 
ST: 
PST: 41:35, 41:36, 
VMT: ","DST: 67
BT: 19
ST: 26
PST: 15
VMT: 33",21,5,5,7,43,0.977272727,Elita,Completed
15,,,,,Green,19,5,8,3,9,6,17,3,3,56,0.736842105,"DST: 31:15
BT: 32:16
ST: 52:08
PST: 52:45
VMT: 53:13","DST: 32:06, 32:09, 32:10
BT: 
ST: 52:11, 52:12, 52:13, 52:14, 52:19, 52:20, 52:22, 52:25 (1), 52:25 (2), 52:26, 52:29, 52:31, 52:33
PST:  
VMT: 53:18, 53:25, 53:27, 53:41, 53:42","DST: 55
BT: 21
ST: 26
PST: 15
VMT: 37",22,6,6,7,33,0.717391304,Elita,Completed
15,,,,,Wide,13,5,7,2,21,5,16,7,3,60,0.8,"DST: 25:37, 
BT: 27:01 
ST: 38:15
PST: 38:52
VMT: 39:14","DST: 25:44, 25:45, 25:55, 26:03,  26:18, 26:30, 26:31, 26:32, 26:34
BT:
ST: 38:22
PST: 
VMT: 39:23, 39:25, 39:30, 39:34, 39:44, 39:45","DST: 58
BT: 26
ST: 26
PST: 15
VMT: 33",22,5,0,4,35,0.777777778,Elita,Completed
15,,,,,Bar,14,4,9,2,24,5,15,5,3,62,0.775,"DST: 33:10
BT: 34:12
ST: 44:09
PST: 44:46
VMT: 45:08","DST: 33:43, 33:45, 33:46, 33:47, 34:02, 34:03 (1), 34:03 (2), 34:04 
BT: 34:31
ST: 44:33
PST: 44:55, 44:58
VMT: 45:11, 45:35 (1), 45:35 (2), 45:36, 45:37, 45:38, 45:44 ","DST: 56
BT: 19
ST: 26
PST: 15
VMT: 41",25,7,5,4,42,0.84,Elita,Completed
16,,subject16 - Desktop 2018.08.09 - 16.49.05.01,,,One,15,4,3,2,1,2,13,N/A,10,35,0.625,"DST: 21:36
BT: 22:40
ST: 30:16
PST: 30:53
VMT: 31:20","DST: 22:09, 22:13, 22:13, 22:14, 22:24, 22:30
BT: all correct
ST: 30:22, 30:25, 30:37, 30:39, 30:41
PST: all correct
VMT: 31:59, 32:01, 32:02, 32:03, 32:04, 32:05, 32:05, 32:06","DST: 54
BT: 24
ST: 27
PST: 16
VMT: 48",6,2,5,7,19,0.730769231,Elita,Completed
16,,,,,Two,17,4,4,1,7,3,22,2,1,53,0.898305085,"DST: 17:36
BT: 18:47
ST: 28:18
PST: 28:56
VMT: 29:18","DST: 18:14, 18:15, 18:26, 18:34
BT: all correct
ST: 28:40
PST: all correct
VMT: all correct","DST: 60
BT: 26
ST: 26
PST: 15
VMT: 47",8,3,5,7,26,0.896551724,Elita,Completed
16,,,,,Blue,17,4,3,3,8,3,13,3,10,45,0.681818182,"DST: 19:35
BT: 20:49
ST: 34:04
PST: 34:40
VMT: 35:04","DST: 20:29, 20:33, 20:34, 20:37
BT: all correct
ST: 34:08, 34:11, 34:12, 34:18, 34:23, 34:28
PST: 34:49
VMT: 35:09, 35:17, 35:31, 35:34, 35:36, 35:37, 35:38, 35:39, 35:40","DST: 65
BT: 27
ST: 27
PST: 17
VMT: 37",14,4,6,7,28,0.777777778,Elita,Completed
16,,,,,Red,17,4,3,4,4,3,22,3,2,50,0.78125,"DST: 13:26
BT: 14:31
ST: 35:57
PST: 36:36
VMT: 36:58","DST: 14:14, 14:21, 14:22, 14:23
BT: all correct
ST: 35:58, 36:01, 36:02, 36:04, 36:08, 36:15, 36:17, 36:19, 36:21
PST: all correct
VMT: all correct","DST: 58
BT: 28
ST: 27
PST: 15
VMT: 29",13,3,6,7,24,0.705882353,Elita,Completed
16,,,,,Teach,19,3,4,5,10,3,22,8,2,57,0.850746269,"DST: 15:25
BT: 16:35
ST: 32:22
PST: 33:00
VMT: 33:23","DST: 16:15, 16:25
BT: 17:10
ST: 32:26, 32:27, 32:32, 32:36, 32:45, 32:48
PST: all correct
VMT: all correct","DST: 62
BT: 41
ST: 16
PST: 16
VMT: 27",16,3,6,7,29,0.783783784,Elita,Completed
16,,,,,Narrow,17,4,3,3,8,1,18,3,10,48,0.774193548,"DST: 11:34
BT: 12:41
ST: 39:28
PST: 40:07
VMT: 40:29","DST: 12:26, 12:33, 12:33, 12:34
BT: all correct
ST: 39:30, 39:32, 39:34, 39:43, 39:46
PST: all correct
VMT: 41:02, 41:04, 41:05","DST: 60
BT: 27
ST: 26
PST: 15
VMT: 38",13,1,6,7,26,0.8125,Elita,Completed
16,,,,,Green,18,4,4,2,4,2,21,10,2,49,0.777777778,"DST: 9:28
BT: 10:40
ST: 37:39
PST: 38:16
VMT: 38:43","DST: 10:22, 10:30, 10:31
BT: all correct
ST: 37:43, 37:44, 37:46, 37:48, 37:56, 38:00, 38:01, 38:04
PST: all correct
VMT: 38:54","DST: 63
BT: 24
ST: 46
PST: 15
VMT: 28",13,2,6,7,23,0.696969697,Elita,Completed
16,,,,,Wide,17,4,3,1,15,2,21,3,1,59,0.830985916,"DST: 23:21
BT: 24:23
ST: 41:32
PST: 42:09
VMT: 42:31","DST: 24:11, 24:13, 24:15, 24:15
BT: all correct
ST: 41:37, 41:42, 41:47, 41:50, 41:50
PST: 42:16
VMT: 42:50","DST: 55
BT: 21
ST: 26
PST: 15
VMT: 28",20,3,6,7,34,0.829268293,Elita,Completed
16,,,,,Bar,12,3,3,2,2,3,20,3,1,40,0.634920635,"DST: 25:10
BT: 26:23
ST: 43:12
PST: 43:50
VMT: 44:18","DST: 25:30, 25:30, 25:32, 25:32, 25:33, 25:49, 25:51, 25:54, 26:13
BT: 26:28
ST: 43:17, 43:18, 43:21, 43:25, 43:27, 43:28, 43:29, 43:31, 43:35, 43:36
PST: all correct
VMT: 44:41, 44:49","DST: 65
BT: 24
ST: 26
PST: 15
VMT: 32",12,3,4,4,16,0.484848485,Elita,Completed
17,,subject17 - Desktop 2018.08.10 - 13.32.26.01,,,One,21,4,3,3,22,2,22,4,3,71,0.986111111,"DST: 10:28
BT: 11:40
ST: 29:41
PST: 30:18
VMT: 30:40","DST: 11:23
BT: 
ST: 
PST: 
VMT: ","DST: 62
BT: 22
ST: 26
PST: 15
VMT: 30",22,2,7,7,42,1,Elita,Completed
17,,,,,Two,20,4,3,4,22,2,22,9,3,70,0.972222222,"DST: 14:16
BT: 15:19
ST: 43:54
PST: 44:31
VMT: 44:54","DST: 15:03, 15:09
BT: 
ST: 
PST: 
VMT: ","DST: 54
BT: 22
ST: 26
PST: 15
VMT: 29",22,2,5,7,40,0.952380952,Elita,Completed
17,,,,,Blue,20,4,4,4,15,2,22,2,3,63,0.954545455,"DST: 19:43
BT: 20:47
ST: 33:16
PST: 33:53
VMT: 34:15","DST: 20:32, 20:38
BT: 
ST: 33:31
PST: 
VMT: ","DST: 55
BT: 28 
ST: 27
PST: 15
VMT: 27",16,2,5,7,33,0.916666667,Elita,Completed
17,,,,,Red,20,4,3,4,10,3,22,2,3,59,0.921875,"DST: 17:54
BT: 18:59
ST: 35:02
PST: 35:59
VMT: 36:02","DST: 18:44, 18:51
BT: 
ST: 35:05, 35:15, 35:28
PST: 
VMT: ","DST: 59
BT: 23 
ST: 26
PST: 15
VMT: 28",13,3,5,7,29,0.852941177,Elita,Completed
17,,,,,Teach,20,4,3,3,15,3,22,5,3,64,0.927536232,"DST: 16:08
BT: 17:10
ST: 36:50
PST: 37:27
VMT: 37:49","DST: 16:56, 17:01
BT: 
ST: 37:12, 37:15
PST: 37:39
VMT: ","DST: 55
BT: 23 
ST: 26
PST: 15
VMT: 28",17,4,5,7,34,0.871794872,Elita,Completed
17,,,,,Narrow,21,4,3,4,18,2,22,2,3,67,0.971014493,"DST: 23:27
BT: 24:31
ST: 38:34
PST: 39:11
VMT: 39:33","DST: 24:15
BT: 
ST: 
PST: 39:17
VMT: ","DST: 56
BT: 23
ST: 26
PST: 15
VMT: 30",18,3,7,7,38,0.974358974,Elita,Completed
17,,,,,Green,21,4,3,4,14,3,22,5,3,64,0.955223881,"DST: 25:19
BT: 26:20
ST: 42:07
PST: 42:44
VMT: 43:06","DST: 26:12
BT: 
ST: 42:15
PST: 42:56
VMT: ","DST: 54
BT: 20
ST: 26
PST: 15
VMT: 29",15,4,6,7,34,0.918918919,Elita,Completed
17,,,,,Wide,20,4,3,3,19,3,21,4,2,67,0.943661972,"DST: 12:25
BT: 13:29
ST: 31:27
PST: 32:04
VMT: 32:27","DST: 13:13, 13:21
BT: 
ST: 
PST: 32:13
VMT: 32:47","DST: 57
BT: 23 
ST: 27
PST: 16
VMT: 31",19,4,5,7,38,0.926829268,Elita,Completed
17,,,,,Bar,20,4,4,4,18,1,22,2,3,65,0.955882353,"DST: 21:39
BT: 22:44
ST: 40:21
PST: 41:00
VMT: 41:22","DST: 22:29, 22:35
BT: 
ST: 
PST: 41:05
VMT: ","DST: 57
BT: 22
ST: 26
PST: 15
VMT: 28",18,2,5,7,35,0.921052632,Elita,Completed
18,,subject18 - Desktop 2018.08.13 - 10.04.42.01,,,One,13,4,1,1,4,2,20,7,1,43,0.671875,"DST: 18:20
BT: 19:40
ST: 47:14
PST: 47:51
VMT: 48:13","DST: 19:02, 19:04, 19:20, 19:23, 19:25, 19:27,19:29, 19:33
BT: all correct
ST: 47:19, 47:20, 47:30, 47:30, 47:32, 47:34, 47:36, 47:37, 47:39
PST: 47:55
VMT: 48:26, 48:45","DST: 73
BT: 25
ST: 27
PST: 16
VMT: 37",13,3,5,7,22,0.647058824,Elita,Completed
18,,,,,Two,15,3,1,1,8,2,10,10,1,38,0.575757576,"DST: 13:26
BT: 14:57
ST: 38:09
PST: 38:45
VMT: 39:08","DST: 13:48, 14:26, 14:35, 14:37, 14:39, 14:45
BT: 15:19
ST: 38:11, 38:16, 38:19, 38:22, 38:26, 38:28, 38:32
PST: 38:54
VMT: 39:30, 39:34, 39:35, 39:36, 39:37, 39:45, 39:46, 39:48, 39:50, 39:52, 39:54","DST: 94
BT: 23
ST: 25
PST: 16
VMT: 49",15,3,6,4,23,0.638888889,Elita,Completed
18,,,,,Blue,12,3,1,1,7,4,21,1,1,47,0.691176471,"DST: 29:09
BT: 30:36
ST: 45:28
PST: 46:05
VMT: 46:29","DST: 29:19, 29:56, 29:58, 29:59, 30:10, 30:17, 30:18, 30:26, 30:27
BT: 30:45
ST: 45:30, 45:32, 45:35, 45:38, 45:40, 45:45, 45:48, 45:52, 45:54
PST: all correct
VMT: 46:49","DST: 80
BT: 33
ST: 26
PST: 16
VMT: 24",16,4,5,7,26,0.684210526,Elita,Completed
